txn_id,merchant_id,buyer_id,device_id,ip_id,instrument_id,settlement_account,registration_ip,amount_inr,status,timestamp,is_ring_gt,ring_id_gt
txn_87a636bae8,mer_acd9edc1df,buy_fd2238a383,dev_5cd9002914,ip_44505306a6,pi_40d8d59a2a,acct_b26562cd60,regip_2c95f8ef1c,1737.3,success,2026-06-01T00:06:00,False,
txn_ce10e54585,mer_52ddd51cdc,buy_5508329c6c,dev_ce0d8843c0,ip_f02c9b8420,pi_2a6db388ef,acct_12eacfacc2,regip_5abd457b66,1352.05,success,2026-06-01T00:12:00,False,
txn_3a4be816e1,mer_5bb7aec3fd,buy_06528c5a5b,dev_55713e8a37,ip_50be6e7ecb,pi_52aed10ce2,acct_1a1fff4f2d,regip_5f9f0215db,642.38,success,2026-06-01T00:14:00,False,
txn_189355853a,mer_6c761287b1,buy_21ca62c775,dev_82e2982c57,ip_d9a499c0df,pi_0538247ab3,acct_8422090eff,regip_1c88566552,510.11,success,2026-06-01T00:22:00,False,
txn_f3986f64b2,mer_2ff853a45e,buy_63d9d77d24,dev_bcd134540b,ip_c0188db766,pi_f28cceb6df,acct_59ade5e42c,regip_ef4eca3d5c,2104.91,failed,2026-06-01T00:29:00,False,
txn_b066cd9680,mer_d35a208bae,buy_2a3e7e4329,dev_234b4a8e22,ip_376cd85eb4,pi_2e5e3b15f8,acct_caf1afc4f7,regip_1e547c1866,395.46,success,2026-06-01T00:32:00,False,
txn_caa11f340a,mer_58806a5815,buy_4fa75e1d53,dev_c79beb4cb7,ip_f026760044,pi_8a5886daa4,acct_0a8d84d151,regip_76da4bb231,503.04,success,2026-06-01T00:34:00,False,
txn_be31133f76,mer_d94d6510df,buy_3b4d0779db,dev_e0ab8dcb10,ip_178429a6f6,pi_a74b50b5e1,acct_5da07f00ad,regip_f8ec4cd5e2,494.17,success,2026-06-01T00:37:00,False,
txn_940bd08da8,mer_8dcc16fa65,buy_1bf293e996,dev_5f73358a45,ip_dd5c831259,pi_5b8ca7d6c1,acct_097ed04f9d,regip_5b523c89b8,902.53,success,2026-06-01T00:43:00,False,
txn_e6ea6c0550,mer_67b2b94576,buy_0c9d7183ed,dev_48d5512499,ip_c3bbe61a9a,pi_1585021702,acct_ddaea507e1,regip_7682a929f0,705.42,success,2026-06-01T00:54:00,False,
txn_aa09522dc0,mer_22ac751046,buy_ba1b4f4b04,dev_0bfbb6ab08,ip_649f0526f4,pi_b624301e98,acct_5808c613fa,regip_c8c66a31a5,2459.66,success,2026-06-01T00:57:00,False,
txn_690a926b72,mer_c6fe8174eb,buy_6044089fc7,dev_7ebd76b7fb,ip_6e0f0ba3da,pi_c9a16b8450,acct_11be779d6b,regip_eaf0bb73a3,1098.05,success,2026-06-01T01:11:00,False,
txn_9be4ddc8ef,mer_de21e1a4c6,buy_0e311db5fc,dev_5759651bdd,ip_b3cdee7842,pi_af77579d97,acct_77855cb9fa,regip_723d2f25ad,301.26,success,2026-06-01T01:15:00,False,
txn_d8faa493dc,mer_df6e5ebd31,buy_0f28ec6231,dev_d4c5583a80,ip_cf5cdadd68,pi_7b4a09c1e0,acct_e5b145e10d,regip_dfdfc14f22,391.17,success,2026-06-01T01:31:00,False,
txn_0eb3aab529,mer_0a2cac35d2,buy_9c5bb896f1,dev_46de777e26,ip_518d916931,pi_1bc80010b9,acct_616967a1b2,regip_a754705558,1542.91,success,2026-06-01T01:36:00,False,
txn_c004bb29af,mer_0c4a5d0c71,buy_1d18034f17,dev_2231d42b32,ip_25932f4730,pi_768038b458,acct_0dfd19e915,regip_8258c744f3,88.12,success,2026-06-01T01:40:00,False,
txn_8e032b2e25,mer_dc722c2852,buy_2e9f1bd271,dev_a5bdeb6164,ip_88b8565cb3,pi_ed77c85ca5,acct_5ad96d149e,regip_129dd51bd9,616.22,success,2026-06-01T01:44:00,False,
txn_ed68676c1e,mer_920613596a,buy_bf750951f0,dev_c82fab7814,ip_104ceac028,pi_37ef05841c,acct_fbc70d639b,regip_d6530cbe2f,806.64,success,2026-06-01T01:47:00,False,
txn_f7ef9a621f,mer_1bb5d677c8,buy_2bd5c891ea,dev_d111d3fa57,ip_a87f9f9eb1,pi_290d879cfb,acct_6bfc6b9489,regip_7f10c72870,218.1,success,2026-06-01T01:49:00,False,
txn_a3aceb34b1,mer_aab01c5b07,buy_fcc36ffbcd,dev_c17f2fa57a,ip_12902c78a9,pi_38c16c26d3,acct_b5f5b16251,regip_2141bfcb00,1096.3,success,2026-06-01T02:01:00,False,
txn_44e4d90522,mer_9383be0c07,buy_4544c023f7,dev_a6b2536684,ip_64c17526b2,pi_0352ab06c1,acct_e058df0ff3,regip_3384ade45c,701.97,success,2026-06-01T02:10:00,False,
txn_581ce6be69,mer_0605bc584e,buy_1dab60b6af,dev_8285937698,ip_0df398e5e6,pi_45617ec216,acct_44f9e815f7,regip_c3eb3b7a3a,882.7,success,2026-06-01T02:21:00,False,
txn_e519d8fedf,mer_02e4958de7,buy_34b545882a,dev_c73fc128e7,ip_0e94d45e88,pi_4164b6e40b,acct_ef5fd8bed2,regip_2e03ad7527,8849.18,success,2026-06-01T02:31:00,False,
txn_8e45873411,mer_aa2337254f,buy_cdef89078b,dev_bde070d0a6,ip_35d2c17fc5,pi_d34a25f8a1,acct_5c02c701f1,regip_ae8ff454f5,3239.12,success,2026-06-01T02:34:00,False,
txn_0a16bb8313,mer_39c0b8fa10,buy_e1ce8f27e0,dev_276237d18e,ip_1fd008f94b,pi_a20f84481f,acct_74c2ac0511,regip_887fab77a0,334.7,success,2026-06-01T02:43:00,False,
txn_beca40fec0,mer_8b9707b4e4,buy_2f34591fcd,dev_fc4da85bbf,ip_39187c3133,pi_685f26e8c3,acct_3dbe4019b5,regip_79b97e854d,572.43,success,2026-06-01T02:48:00,False,
txn_b5883b4e61,mer_5e8019aefa,buy_0af2af4eba,dev_11c1100d44,ip_beb46c2c4c,pi_090e38eecd,acct_eb31476964,regip_305dfc0f7a,3446.85,success,2026-06-01T03:03:00,False,
txn_5a256caee9,mer_bd44cdc2df,buy_13b9950966,dev_6871a8f161,ip_bd35e80d72,pi_a5b81800aa,acct_dd1fc12118,regip_b2cfb81dbd,190.72,success,2026-06-01T03:11:00,False,
